1,394,874
1,178,873
1,227,872
1,305,872
1,532,872
1,448,871
1,511,871
1,233,869
1,426,869
1,505,869
1,157,868
1,195,868
1,268,868
1,443,868
1,496,868
1,543,867
1,216,866
1,247,866
1,508,866
1,520,866
1,177,865
1,196,865
1,377,865
1,457,865
1,558,865
1,226,864
1,292,864
1,283,863
1,365,863
1,520,863
1,136,862
1,534,862
1,347,861
1,369,861
1,435,861
1,249,860
1,313,860
1,397,860
1,520,860
1,269,859
1,315,859
1,331,859
1,435,859
1,482,859
1,243,858
1,325,858
1,442,858
1,465,858
1,237,857
1,247,857
1,267,857
1,382,857
1,415,857
1,260,856
1,367,855
1,385,855
1,439,855
1,373,854
1,169,853
1,219,853
1,302,853
1,326,853
1,368,853
1,415,853
1,264,852
1,186,851
1,430,851
1,366,850
1,494,850
1,188,849
1,227,849
1,302,849
1,405,849
1,506,849
1,275,848
1,424,848
1,185,847
1,320,847
1,341,847
1,388,847
1,154,846
1,185,846
1,469,846
1,524,846
1,532,846
1,205,845
1,245,845
1,260,845
1,419,845
1,417,844
1,487,844
1,171,843
1,215,843
1,272,843
1,392,843
1,470,843
1,143,842
1,173,842
1,279,842
1,281,842
1,221,841
1,485,841
1,559,841
1,168,840
1,263,840
1,442,840
1,178,839
1,269,839
1,483,839
1,173,838
1,270,838
1,335,838
1,409,838
1,434,838
1,439,838
1,465,838
1,202,837
1,291,837
1,313,837
1,410,837
1,492,837
1,555,837
1,252,836
1,345,836
1,147,835
1,446,835
1,533,835
1,549,835
1,214,834
1,176,833
1,236,833
1,374,833
1,369,832
1,533,832
1,559,832
1,361,831
1,489,831
1,543,831
1,388,830
1,482,830
1,504,830
1,539,830
1,454,829
1,521,829
1,155,828
1,342,828
1,460,828
1,489,828
1,200,827
1,344,827
1,406,827
1,200,826
1,297,826
1,334,826
1,537,826
1,240,825
1,361,825
1,210,824
1,291,824
1,545,824
1,930,824
1,245,823
1,765,823
1,832,823
1,163,822
1,489,822
1,1058,822
1,250,821
1,371,821
1,822,821
1,847,821
1,1067,821
1,225,820
1,409,820
1,463,820
1,770,820
1,202,819
1,353,819
1,506,819
1,531,819
1,133,818
1,220,818
1,559,818
1,841,818
1,874,818
1,259,817
1,484,817
1,902,817
1,963,817
1,1044,817
1,337,816
1,884,816
1,296,815
1,329,815
1,457,815
1,478,815
1,941,815
1,129,814
1,191,814
1,1074,814
1,229,813
1,301,813
1,438,813
1,321,812
1,449,812
1,821,812
1,925,812
1,333,811
1,388,811
1,397,811
1,813,811
1,969,811
1,1015,811
1,1035,811
1,188,810
1,201,810
1,203,810
1,362,810
1,416,810
1,426,810
1,763,810
1,895,810
1,205,809
1,233,809
1,312,809
1,485,809
1,797,809
1,306,808
1,311,808
1,315,808
1,401,808
1,990,808
1,1033,808
1,1057,808
1,1059,808
1,251,807
1,324,807
1,377,807
1,389,807
1,436,806
1,828,806
1,883,806
1,289,805
1,345,805
1,487,805
1,545,805
1,547,805
1,1044,805
